,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2024-02-01,112492.19205011871,94392.22133894,107847.96691380392,105260.2836585
2024-02-02,112857.56347211871,95033.34591994,108797.77639530392,106365.2836585
2024-02-05,112564.1134721187,94787.22711593998,108566.92126491538,105978.5336585
2024-02-06,113002.3034721187,94680.26711593999,107631.55766741539,106285.7236585
2024-02-07,113480.4615481187,94850.80711593997,108526.42510291537,107169.7236585
2024-02-08,113052.4071926187,95220.49430343998,108646.78203391537,107218.34365849999
2024-02-09,113252.42213561872,93687.99158293998,109566.03930491536,107834.9336585
2024-02-12,113484.0961481187,93284.85400843999,108721.61723241537,107788.52365850001
2024-02-13,112162.84773511869,92332.94021593999,108006.72939941536,106307.8236585
2024-02-14,113312.0388776187,93725.41044344884,111457.17359711064,107271.3836585
2024-02-15,114911.0181661187,94922.07614944884,111847.58252711062,108009.52365850001
2024-02-16,114877.3105086187,94331.07861094883,110999.52660761063,107472.4936585
2024-02-20,115062.8437651187,93655.97420044885,109913.17597661064,106882.4236585
2024-02-21,112854.5541651187,93691.34420044883,106761.85381161065,106979.6636585
2024-02-22,114203.92557811867,95395.07420044884,108291.06013711065,109187.4536585
2024-02-23,113856.5168851187,95801.20399044882,108454.92592911063,109262.59365849999
2024-02-26,113592.8633141187,95725.46396694882,108239.18549311065,108862.58365849999
2024-02-27,114935.0253000824,96955.66499221305,108428.49965511065,109063.6936585
2024-02-28,114500.88506708242,96829.61314621304,108051.01340511063,108920.0436585
2024-02-29,115288.08337658239,97273.08112121306,107921.77343511063,109311.2136585
2024-03-01,117479.72510208239,98159.54351421306,109316.43488511063,110334.4436585
2024-03-04,119085.65781696564,99065.57161621306,109745.84343711064,110217.31365849999
2024-03-05,118226.24358099395,98724.69239810345,109727.31779711063,109118.9436585
2024-03-06,118769.02116699395,99029.87179810343,110546.05908049412,109669.2336585
2024-03-07,120189.02116699396,99909.30179810342,111055.4739114941,110754.34365849999
2024-03-08,119936.57116699395,99109.70179810343,109311.0943954941,110091.34365849999
2024-03-11,120886.49267599394,99810.00772460343,107948.6043954941,109998.52365850001
2024-03-12,121532.52633549395,99877.10013160345,108210.9024008949,111176.4536585
2024-03-13,121765.19699549397,100160.36862810343,107412.92195327987,111004.0736585
